CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
FEKDIL,Textile,A,15.7,19.36,47.58,0.33,2187.44,67.2,19.75,13.05,0,0
ESQUIRENIT,Textile,A,35.9,50.61,18.22,1.97,1348.96,46.95,13,40.05,0,0
RNSPIN,Textile,Z,6.8,18.34,-7.73,-0.88,3925.45,30,57.59,12.39,0.02,0
TOSRIFA,Textile,B,17.7,28.71,-6.17,-2.87,663.27,49.72,26.01,24.27,0,0
NURANI,Textile,A,9.9,1.18,-24.15,-0.41,1226.25,30.93,51.79,17.28,0,0
AIL,Textile,A,37.2,20.83,13.58,2.74,442.52,33.35,56.86,9.79,0,0
SHEPHERD,Textile,A,17.9,15.79,-119.33,-0.15,1502.89,51.48,18.59,11.53,18.4,0
SIMTEX,Textile,A,18.4,21,32.86,0.56,795.95,32.69,48.63,18.39,0.29,0
MHSML,Textile,B,18.3,15.2,-15.38,-1.19,1009.93,39.61,30.73,29.6,0.06,0
APEXSPINN,Textile,A,129.6,54.17,87.57,1.48,84,54.81,20,24.75,0.44,0
NEWLINE,Textile,A,28.7,23.83,25.18,1.14,785.33,30.8,55.12,14.06,0,0
TALLUSPIN,Textile,Z,7.9,11.97,-6.99,-1.13,893.35,30,47.25,22.6,0.15,0
ANLIMAYARN,Textile,B,38.7,10.69,276.43,0.14,178.68,47.22,43.29,9.49,0,0
ALLTEX,Textile,Z,13,15.78,-2.38,-5.47,559.68,40.74,53.24,6.02,0,0
SHASHADNIM,Textile,A,25.7,43.48,11.95,2.15,1410.36,37.56,43.1,18.22,1.12,0
ZAHEENSPIN,Textile,B,10.8,8.78,-3.19,-3.39,1138.28,31.1,43.2,25.7,0,0
SAFKOSPINN,Textile,B,23.8,17.23,-4.18,-5.69,299.82,30,69.05,0.95,0,0
RAHIMTEXT,Textile,A,296.5,36.85,395.33,0.75,94.6,70.94,24.14,4.92,0,0
TUNGHAI,Textile,Z,7.1,13.24,5.77,1.23,1066.53,30.04,67.05,2.91,0,0
SAIHAMTEX,Textile,A,23.1,41.66,-26.86,-0.86,905.63,33.7,32.49,33.81,0,0
HFL,Textile,A,18.8,40.04,44.76,0.42,910.57,51.51,16.56,31.93,0,0
